latitude,longitude,date_start,date_end,best_est
33.33333,67.75,01/07/2013 00:00:00,01/08/2013 00:00:00,1
34.015449,62.739639,01/11/2013 00:00:00,01/11/2013 00:00:00,0
36.972465,69.163284,01/08/2013 00:00:00,01/08/2013 00:00:00,3
36.972465,69.163284,01/08/2013 00:00:00,01/08/2013 00:00:00,2
34.196796,70.159393,01/08/2013 00:00:00,01/08/2013 00:00:00,2
34.227055,70.146752,01/08/2013 00:00:00,01/08/2013 00:00:00,0
34.998476,71.081975,01/08/2013 00:00:00,01/08/2013 00:00:00,3
33,65,01/08/2013 00:00:00,01/09/2013 00:00:00,2
36.377373,69.312859,01/09/2013 00:00:00,01/10/2013 00:00:00,1
34.196796,70.159393,01/10/2013 00:00:00,01/10/2013 00:00:00,3
34.2775,69.9519,01/10/2013 00:00:00,01/10/2013 00:00:00,2
35.047695,63.296009,01/10/2013 00:00:00,01/10/2013 00:00:00,6
34.227055,70.146752,01/10/2013 00:00:00,01/10/2013 00:00:00,1
34.763996,70.390991,01/11/2013 00:00:00,01/11/2013 00:00:00,1
35.453482,71.31308,01/11/2013 00:00:00,01/11/2013 00:00:00,0
35.483273,71.314533,01/12/2013 00:00:00,01/12/2013 00:00:00,5
31.564428,64.55774,01/14/2013 00:00:00,01/14/2013 00:00:00,1
34.0169,68.7702,01/12/2013 00:00:00,01/12/2013 00:00:00,5
34.750462,71.118319,01/11/2013 00:00:00,01/13/2013 00:00:00,1
34.2589,69.9477,01/14/2013 00:00:00,01/14/2013 00:00:00,3
32.378207,66.335951,01/14/2013 00:00:00,01/14/2013 00:00:00,3
33.929854,68.886195,01/15/2013 00:00:00,01/15/2013 00:00:00,3
32.21683,62.88273,01/14/2013 00:00:00,01/15/2013 00:00:00,5
34.290316,70.761085,01/13/2013 00:00:00,01/15/2013 00:00:00,2
33.212235,65.617385,01/15/2013 00:00:00,01/15/2013 00:00:00,1
34.290316,70.761085,01/15/2013 00:00:00,01/15/2013 00:00:00,1
34.531094,69.162796,01/16/2013 00:00:00,01/16/2013 00:00:00,7
33.192284,62.164119,01/16/2013 00:00:00,01/16/2013 00:00:00,4
33.2135,68.0695,01/16/2013 00:00:00,01/16/2013 00:00:00,2
33.016315,65.04411,01/16/2013 00:00:00,01/16/2013 00:00:00,2
31.072875,65.158015,01/16/2013 00:00:00,01/16/2013 00:00:00,1
34.038332,62.044272,01/19/2013 00:00:00,01/19/2013 00:00:00,2
34.2714,69.9327,01/19/2013 00:00:00,01/19/2013 00:00:00,1
34.749,70.31,01/19/2013 00:00:00,01/19/2013 00:00:00,2
35.136799,71.311699,01/19/2013 00:00:00,01/19/2013 00:00:00,4
34.0689,70.6753,01/19/2013 00:00:00,01/19/2013 00:00:00,6
31.625941,63.861445,01/19/2013 00:00:00,01/19/2013 00:00:00,9
31.643099,64.219299,01/19/2013 00:00:00,01/19/2013 00:00:00,1
36.735075,69.052634,01/20/2013 00:00:00,01/20/2013 00:00:00,2
31.718695,64.673286,01/20/2013 00:00:00,01/20/2013 00:00:00,1
34.531094,69.162796,01/21/2013 00:00:00,01/21/2013 00:00:00,8
35.418705,71.528694,01/21/2013 00:00:00,01/21/2013 00:00:00,14
